logo,empresa,ticker,mercado,comision,minimo,horario,fraccion,ticker.yf,Validado,Nombre,Sector
https://logos.xtb.com/sm_us.svg,SM Energy Co,SM.US,NewYork,0 USD,10 USD,15:30 - 22:00,Sí,SM,True,SM Energy Company,Energy
https://logos.xtb.com/smar_us.svg,Smartsheet Inc - class A,SMAR.US,NewYork,0 USD,10 USD,15:30 - 22:00,Sí,SMAR,False,False,False
https://logos.xtb.com/smbc_us.svg,Southern Missouri Bancorp Inc,SMBC.US,NewYork,-,10 USD,-,Sí,SMBC,True,"Southern Missouri Bancorp, Inc.",Financial Services
https://logos.xtb.com/smbk_us.svg,SmartFinancial Inc,SMBK.US,NewYork,-,10 USD,-,Sí,SMBK,True,"SmartFinancial, Inc.",Financial Services
https://logos.xtb.com/smci_us.svg,Super Micro Computer Inc,SMCI.US,NewYork,0 USD,10 USD,15:30 - 22:00,Sí,SMCI,True,"Super Micro Computer, Inc.",Technology
https://logos.xtb.com/smcp_fr.svg,SMCP SA,SMCP.FR,Paris,0 EUR*,10 EUR,09:00 - 17:30,Sí,SMCP.PA,True,SMCP S.A.,Consumer Cyclical
https://logos.xtb.com/smds_uk.svg,DS Smith PLC,SMDS.UK,London,0 EUR*,10 GBP,09:00 - 17:30,Sí,SMDS.L,False,False,False
https://logos.xtb.com/smfg_us.svg,Sumitomo Mitsui Financial Group Inc - ADR,SMFG.US,NewYork,0 USD,10 USD,15:30 - 22:00,Sí,SMFG,True,"Sumitomo Mitsui Financial Group, Inc.",Financial Services
https://logos.xtb.com/smg_us.svg,Scotts Miracle-Gro Co,SMG.US,NewYork,0 USD,10 USD,15:30 - 22:00,Sí,SMG,True,The Scotts Miracle-Gro Company,Basic Materials
https://logos.xtb.com/smhi_us.svg,SEACOR Marine Holdings Inc,SMHI.US,NewYork,-,10 USD,-,No,SMHI,True,SEACOR Marine Holdings Inc.,Industrials
https://logos.xtb.com/smhn_de.svg,SUESS MicroTec SE,SMHN.DE,Frankfurt,0 EUR*,10 EUR,09:00 - 17:30,No,SMHN.DE,True,SUSS MicroTec SE,Technology
https://logos.xtb.com/smid_us.svg,Smith-Midland Corp,SMID.US,NewYork,-,10 USD,-,No,SMID,True,Smith-Midland Corporation,Basic Materials
https://logos.xtb.com/smin_uk.svg,Smiths Group PLC,SMIN.UK,London,0 EUR*,10 GBP,09:00 - 17:30,Sí,SMIN.L,True,Smiths Group plc,Industrials
